epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.4412,1.07938,5.71969,1.61596,0,0,0,0,1.10692,inf,1.54006,5.87755e-06,5.87755e-06,5.87755e-06
2,74.1109,0.65695,5.55073,1.3286,0,0,0,0,1.05878,inf,1.41496,1.176e-05,1.176e-05,1.176e-05
3,108.035,0.55597,5.23607,1.254,0.00141,0.0094,0.00139,0.00096,1.18348,5.02717,1.57082,1.75236e-05,1.75236e-05,1.75236e-05
4,141.996,0.5324,4.90341,1.23508,0.32992,0.00237,0.00124,0.00084,1.23182,4.84825,1.59335,1.74654e-05,1.74654e-05,1.74654e-05
5,175.838,0.53064,4.67321,1.23683,0.33337,0.00242,0.00128,0.00084,1.23631,4.71496,1.6061,1.72872e-05,1.72872e-05,1.72872e-05
6,209.841,0.53827,4.49233,1.23724,0.30939,0.00233,0.00151,0.00098,1.24161,4.50353,1.61477,1.7109e-05,1.7109e-05,1.7109e-05
7,243.81,0.5451,4.33643,1.24086,0.27138,0.0024,0.00165,0.00111,1.21261,4.33196,1.61469,1.69308e-05,1.69308e-05,1.69308e-05
8,277.755,0.54366,4.23069,1.23525,0.22996,0.00237,0.00184,0.00132,1.15316,4.24159,1.57411,1.67526e-05,1.67526e-05,1.67526e-05
9,311.816,0.54532,4.14912,1.23856,0.25776,0.00247,0.00207,0.00151,1.20155,4.12151,1.61888,1.65744e-05,1.65744e-05,1.65744e-05
10,346.08,0.55204,4.0455,1.23784,0.23708,0.00234,0.00208,0.00155,1.14956,4.04771,1.5843,1.63962e-05,1.63962e-05,1.63962e-05
11,379.872,0.55597,3.95452,1.23975,0.18165,0.00231,0.00204,0.00151,1.1452,4.0165,1.5934,1.6218e-05,1.6218e-05,1.6218e-05
12,413.798,0.55023,3.90784,1.2355,0.20934,0.00236,0.00198,0.00147,1.13519,3.98704,1.59241,1.60398e-05,1.60398e-05,1.60398e-05
13,447.703,0.55235,3.82534,1.23507,0.00582,0.01881,0.00671,0.00539,1.12735,3.96561,1.58349,1.58616e-05,1.58616e-05,1.58616e-05
14,481.657,0.54984,3.75378,1.23012,0.00226,0.01727,0.00534,0.00416,1.09733,3.95308,1.57277,1.56834e-05,1.56834e-05,1.56834e-05
15,515.709,0.5596,3.65505,1.23706,0.00227,0.01726,0.0054,0.00422,1.09769,3.90337,1.56234,1.55052e-05,1.55052e-05,1.55052e-05
16,549.448,0.54934,3.62214,1.23115,0.00211,0.02086,0.00602,0.00465,1.09533,3.8745,1.56251,1.5327e-05,1.5327e-05,1.5327e-05
17,583.223,0.54755,3.57828,1.22372,0.00233,0.01743,0.0038,0.00291,1.09043,3.84096,1.56117,1.51488e-05,1.51488e-05,1.51488e-05
18,617.011,0.54871,3.49063,1.22277,0.00383,0.02201,0.00721,0.00576,1.05859,3.79721,1.53644,1.49706e-05,1.49706e-05,1.49706e-05
19,651.026,0.54908,3.45754,1.22319,0.0048,0.02359,0.00765,0.00619,1.06756,3.75288,1.53527,1.47924e-05,1.47924e-05,1.47924e-05
20,685.355,0.54145,3.39928,1.21485,0.00227,0.01396,0.00534,0.00382,1.04796,3.77889,1.52968,1.46142e-05,1.46142e-05,1.46142e-05
21,719.184,0.53743,3.37332,1.21018,0.00374,0.01684,0.00515,0.00421,1.0563,3.69642,1.53455,1.4436e-05,1.4436e-05,1.4436e-05
